variable,table,category,status,source,notes
TCode,,identification,converted,DerivedVariables_Schema.json,"primary key candidate; 8-char pseudo-anon id, x-primaryKey in source"
R0_Ethnicity,,demographics,converted,DerivedVariables_Schema.json,enum 1/2/3/4/9/null
R0_AshkenaziAncestry,,demographics,converted,DerivedVariables_Schema.json,binary enum 0/1/null
R0_PregAt20,,reproductive_hormonal,converted,DerivedVariables_Schema.json,enum 0/1/9999/null; 9999=NA
R0_Height20,,anthropometric,converted,DerivedVariables_Schema.json,"oneOf null/9999-NA/number(0,320)"
R0_Weight20,,anthropometric,converted,DerivedVariables_Schema.json,"oneOf null/9999-NA/number(0,500)"
R0_BMI20,,anthropometric,converted,DerivedVariables_Schema.json,"oneOf null/9999-NA/number(0,165); calculated"
R0_PregAtEntry,,reproductive_hormonal,converted,DerivedVariables_Schema.json,enum 0/1/null
R0_Height,,anthropometric,converted,DerivedVariables_Schema.json,"oneOf null/number(0,320); no 9999 branch here"
R0_Weight,,anthropometric,converted,DerivedVariables_Schema.json,"oneOf null/number(0,500); no 9999 branch here"
R0_BMI,,anthropometric,converted,DerivedVariables_Schema.json,"oneOf null/9999-NA/number(0,165); calculated"
R0_HighestWeight,,anthropometric,converted,DerivedVariables_Schema.json,"oneOf null/number(0,700); no 9999 branch"
R0_HighestWeightAge,,anthropometric,converted,DerivedVariables_Schema.json,"integer/null, minimum 0"
R0_WaistCircum,,anthropometric,converted,DerivedVariables_Schema.json,"oneOf null/number(0,350)"
R0_HipCircum,,anthropometric,converted,DerivedVariables_Schema.json,"oneOf null/number(0,350)"
R0_WaistHipRatio,,anthropometric,converted,DerivedVariables_Schema.json,"oneOf null/9999-NA/number(0,10); calculated"
R0_AgeMenarche,,reproductive_hormonal,converted,DerivedVariables_Schema.json,"oneOf null/integer(0,100)"
R0_OralContraceptiveStatus,,reproductive_hormonal,converted,DerivedVariables_Schema.json,enum 0/1/2/null
R0_AgeStartedOC,,reproductive_hormonal,converted,DerivedVariables_Schema.json,"oneOf null/9999-NA/number(0,120)"
R0_AgeLastUsedOC,,reproductive_hormonal,converted,DerivedVariables_Schema.json,"oneOf null/9999-NA/number(0,120)"
R0_OCLength,,reproductive_hormonal,converted,DerivedVariables_Schema.json,"oneOf null/9999-NA/number[0,120)"
R0_Parous,,reproductive_hormonal,converted,DerivedVariables_Schema.json,enum -1/0/1/9/null
R0_Parity,,reproductive_hormonal,converted,DerivedVariables_Schema.json,oneOf null/integer>=0
R0_AgeFFTP,,reproductive_hormonal,converted,DerivedVariables_Schema.json,"oneOf null/9999-NA/number(0,120)"
R0_AgeLFTP,,reproductive_hormonal,converted,DerivedVariables_Schema.json,"oneOf null/9999-NA/number(0,120)"
R0_BreastfeedingDuration,,reproductive_hormonal,converted,DerivedVariables_Schema.json,"oneOf null/9999-NA/number[0,1300)"
R0_Breastfed,,reproductive_hormonal,converted,DerivedVariables_Schema.json,enum 0/1/9999/null
R0_BBD,,medical_history,converted,DerivedVariables_Schema.json,enum 0/1/null
R0_DiabetesStatus,,medical_history,converted,DerivedVariables_Schema.json,enum 0/1/null
R0_AgeDiabetes,,medical_history,converted,DerivedVariables_Schema.json,"integer/null, minimum 0; retained only if R0_DiabetesStatus=1 per x-description"
R0_DiabetesInsulin,,medical_history,converted,DerivedVariables_Schema.json,enum 0/1/null
R0_Menopause,,reproductive_hormonal,converted,DerivedVariables_Schema.json,enum 1/2/3/4/9/null
R0_AgeMenopause,,reproductive_hormonal,converted,DerivedVariables_Schema.json,"integer/null, minimum 0"
R0_MenopauseReason,,reproductive_hormonal,converted,DerivedVariables_Schema.json,"enum 1-19/null, 19 levels"
R0_HRTStatus,,reproductive_hormonal,converted,DerivedVariables_Schema.json,enum 0/1/2/null
R0_HRTStartAge,,reproductive_hormonal,converted,DerivedVariables_Schema.json,"integer/null, minimum 0"
R0_HRTStopAge,,reproductive_hormonal,converted,DerivedVariables_Schema.json,"integer/null, minimum 0"
R0_HRTDuration,,reproductive_hormonal,converted,DerivedVariables_Schema.json,"number/null, minimum 0; calculated from HRTStartAge/StopAge"
R0_AlcoholStatus,,behavioral,converted,DerivedVariables_Schema.json,enum 0/1/2/null
R0_AgeStartedDrinking,,behavioral,converted,DerivedVariables_Schema.json,"integer/null, minimum 0"
R0_AgeStoppedDrinking,,behavioral,converted,DerivedVariables_Schema.json,"integer/null, minimum 0"
R0_AlcoholUnitsPerWeek,,behavioral,converted,DerivedVariables_Schema.json,"number/null, minimum 0"
R0_SmokingStatus,,behavioral,converted,DerivedVariables_Schema.json,enum 0/1/2/null
R0_AgeStartedSmoking,,behavioral,converted,DerivedVariables_Schema.json,"integer/null, minimum 0"
R0_AgeStoppedSmoking,,behavioral,converted,DerivedVariables_Schema.json,"integer/null, minimum 0"
