variable,table,category,status,source,notes
REDUC,recruitment,body_lifestyle,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RHEIGHT,recruitment,body_lifestyle,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RWGT,recruitment,body_lifestyle,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RBMI,recruitment,body_lifestyle,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RSMOKE,recruitment,body_lifestyle,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RCIGSPD,recruitment,body_lifestyle,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RALCNUM,recruitment,body_lifestyle,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
REXANY,recruitment,body_lifestyle,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
REXSTREN,recruitment,body_lifestyle,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RANYCHLD,recruitment,reproductive_pregnancy,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RNUMFTP,recruitment,reproductive_pregnancy,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RAGEFB,recruitment,reproductive_pregnancy,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RAGELB,recruitment,reproductive_pregnancy,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RBFYN,recruitment,reproductive_pregnancy,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RBFNUM,recruitment,reproductive_pregnancy,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RBFDUR,recruitment,reproductive_pregnancy,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RMAMM,recruitment,breast_health,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RFHBC,recruitment,breast_health,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RHYST,recruitment,gynae_surgery,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RHYSTAG,recruitment,gynae_surgery,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
ROOPH,recruitment,gynae_surgery,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
ROOPHAGE,recruitment,gynae_surgery,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RSTER,recruitment,gynae_surgery,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RSTERAGE,recruitment,gynae_surgery,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
ROC,recruitment,contraceptive,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
ROCSTART,recruitment,contraceptive,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
ROCSTOP,recruitment,contraceptive,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
ROCDUR,recruitment,contraceptive,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RHTNPC,recruitment,hrt,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RHRTSTA,recruitment,hrt,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RHTDUR,recruitment,hrt,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RHRTSTO,recruitment,hrt,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RHRTMP,recruitment,hrt,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RHTTYPE,recruitment,hrt,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RHTLU,recruitment,hrt,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RMENARCH,recruitment,menstrual,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RPSTOPYN,recruitment,menstrual,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
RPSTOPAG,recruitment,menstrual,converted,millionwomenstudydatadictionary-v1-21.xlsx / Recruitment variables,
