variable,table,category,status,source,notes
PID,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
REGISTRATION_YEAR,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
REGISTRATION_MONTH,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
CONSENT_VERSION,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
CONSENT_YEAR,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
CONSENT_MONTH,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
BIRTH_YEAR,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
BIRTH_MONTH,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
BLOOD_SAMPLE,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
DEMOG_ETHNICITY_1_1,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
DEMOG_GENDER_1_1,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
DEMOG_GENDER_2_1,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
DEMOG_SEX_1_1,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
DEMOG_SEX_2_1,participant,participant,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ID,questionnaire,questionnaire_info,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
PID,questionnaire,questionnaire_info,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
QUESTIONNAIRE_VERSION,questionnaire,questionnaire_info,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
SUBMISSION_DATE,questionnaire,questionnaire_info,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
DEMOG_HEIGHT_1_1,questionnaire,about_you_household,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
DEMOG_HEIGHT_ENTER_UNIT_1_1,questionnaire,about_you_household,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
DEMOG_LANGUAGE_1_1,questionnaire,about_you_household,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
DEMOG_RELATSH_CIVIL_CURR_1_1,questionnaire,about_you_household,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
DEMOG_RELATSH_CIVIL_PREV_1_1,questionnaire,about_you_household,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
DEMOG_RELATSH_MARR_CURR_1_1,questionnaire,about_you_household,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
DEMOG_RELATSH_MARR_PREV_1_1,questionnaire,about_you_household,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
DEMOG_RELATSH_STATUS_1_1,questionnaire,about_you_household,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
