variable,table,category,status,source,notes
StudyID,r0_questionnaire,general_information,converted,BaselineMetadata.xlsx Questions sheet,primary key; pattern ^[0-9]{6}$
R0_AcneMedsPrescribed,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Medical history: drugs and suppliments
R0_AcneMedsStartAge,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Medical history: drugs and suppliments
R0_ActiveHouseworkDays,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Activity
R0_ActiveHouseworkHours,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Activity
R0_ActiveHouseworkMinutes,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Activity
R0_AddrChanged,r0_questionnaire,general_information,converted,BaselineMetadata.xlsx Questions sheet,General Information
R0_AddressLineFour,r0_questionnaire,general_information,converted,BaselineMetadata.xlsx Questions sheet,General Information
R0_AddressLineOne,r0_questionnaire,general_information,converted,BaselineMetadata.xlsx Questions sheet,General Information
R0_AddressLineThree,r0_questionnaire,general_information,converted,BaselineMetadata.xlsx Questions sheet,General Information
R0_AddressLineTwo,r0_questionnaire,general_information,converted,BaselineMetadata.xlsx Questions sheet,General Information
R0_AgeAtDiagnosis1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_AgeAtDiagnosis2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_AgeAtDiagnosis3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_AgeBreastDev,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Development
R0_AgeBreastDev_Unkn,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Development
R0_AgeMeas1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Development
R0_AgeMeas2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Development
R0_AgeMeas_From1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Development
R0_AgeMeas_From2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Development
R0_AgeMeas_To1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Development
R0_AgeMeas_To2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Physical Development
R0_AirborneHoursMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Other Lifestyle Factors
R0_AirborneHoursWeek,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Other Lifestyle Factors
R0_AircrewTravelCurrent,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Other Lifestyle Factors
R0_AircrewTravelEndYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Other Lifestyle Factors
R0_AircrewTravelHistory,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Other Lifestyle Factors
R0_AircrewTravelStartYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Other Lifestyle Factors
R0_AlcoholBeer,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,"Alcohol, Smoking, and Diet"
R0_AlcoholCurrentUse,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,"Alcohol, Smoking, and Diet"
R0_AlcoholDaysRecentWeek,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,"Alcohol, Smoking, and Diet"
R0_AlcoholLiqueur,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,"Alcohol, Smoking, and Diet"
